id,basisOfRecord,occurrenceID,recordedBy,eventDate,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identificationQualifier,scientificName,kingdom,family,taxonRank
plant-occurrences_raja-ampat_j-schrader_2020_220,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_220,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515429,130.588068,WGS84,30,,Decaspermum bracteatum (Roxb.) A.J.Scott,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_221,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_221,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517726,130.569355,WGS84,30,,Intsia bijuga (Colebr.) Kuntze,Plantae,Leguminosae,species
plant-occurrences_raja-ampat_j-schrader_2020_222,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_222,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517726,130.569355,WGS84,30,,Planchonella obovata (R.Br.) Pierre,Plantae,Sapotaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_223,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_223,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517726,130.569355,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_225,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_225,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517649,130.584401,WGS84,30,,Glochidion castaneum Airy Shaw,Plantae,Phyllanthaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_226,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_226,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516095,130.583098,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_227,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_227,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516095,130.583098,WGS84,30,,Cupaniopsis Radlk.,Plantae,Sapindaceae,genus
plant-occurrences_raja-ampat_j-schrader_2020_229,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_229,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.520461,130.5808,WGS84,30,,Intsia bijuga (Colebr.) Kuntze,Plantae,Leguminosae,species
plant-occurrences_raja-ampat_j-schrader_2020_23,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_23,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.51154,130.562918,WGS84,30,,Wikstroemia androsaemifolia Decne.,Plantae,Thymelaeaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_230,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_230,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517587,130.568534,WGS84,30,,Phyllanthus praelongipes Airy Shaw & G.L.Webster,Plantae,Phyllanthaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_231,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_231,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515023,130.569425,WGS84,30,,Cupaniopsis Radlk.,Plantae,Sapindaceae,genus
plant-occurrences_raja-ampat_j-schrader_2020_232,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_232,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515023,130.569425,WGS84,30,,Planchonella obovata (R.Br.) Pierre,Plantae,Sapotaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_233,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_233,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.515023,130.569425,WGS84,30,,Exocarpos latifolius R.Br.,Plantae,Santalaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_234,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_234,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516626,130.572132,WGS84,30,,Eugenia reinwardtiana (Blume) A.Cunn. ex DC.,Plantae,Myrtaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_235,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_235,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514338,130.570002,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
